# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
yi wei 	意味	c=1 d=1 t=82475
yi wei 	譯爲	c=4 d=1.80252 t=45498
yi wei shu zu 	一維數組	c=1 d=2.60354e-22 t=96130
yi wei zhe 	意味着	c=1 d=1 t=80531
yi wen 	一問	c=1 d=1 t=89806
yi wu 	義務	c=1 d=1 t=75017
yi xi lie 	一系列	c=2 d=1.39671e-19 t=96130
yi xia 	一下	c=202 d=0.178627 t=96130
yi xia 	以下	c=40 d=0.103564 t=96130
yi xia lie 	以下列	c=1 d=1 t=55100
yi xiang 	一項	c=8 d=1.98511 t=84887
yi xiang 	臆想	c=1 d=1 t=41235
yi xiang bu dao 	意想不到	c=1 d=1 t=73835
yi xiang dao 	一想到	c=1 d=1 t=39720
yi xiang qing yuan 	一相情願	c=1 d=1 t=26861
yi xiao 	一小	c=0 d=0.1 t=68405
yi xiao pie 	一小撇	c=1 d=1 t=68406
yi xiao qing cheng 	一笑倾城	c=1 d=1 t=28420
yi xiao shi 	一小時	c=2 d=1 t=77893
yi xie 	一些	c=79 d=0.167281 t=96130
yi xie 	一斜	c=1 d=9.98267e-10 t=96130
yi xie 	一泻	c=29 d=0.000500451 t=96130
yi xie er 	伊謝爾	c=1 d=1 t=71805
yi xue 	醫學	c=1 d=5.49185e-09 t=96130
yi xue yuan 	醫學院	c=1 d=1 t=82694
yi yan 	已驗	c=1 d=1 t=32457
yi yang 	一樣	c=45 d=0.449657 t=96130
yi ye 	一頁	c=1 d=1 t=31078
yi yi 	一一	c=3 d=2.2186e-13 t=96130
yi yi 	一億	c=2 d=1.44043 t=61797
yi yi 	意義	c=7 d=3.20091e-11 t=96130
yi yi dui ying 	一一對應	c=1 d=1.26948e-13 t=96130
yi you 	已有	c=21 d=0.190139 t=96130
yi you shi jian 	一有时间	c=1 d=1 t=29728
yi yu 	抑鬱	c=3 d=1 t=75987
yi yue 	一月	c=3 d=0.802519 t=96130
yi zhan 	驛站	c=1 d=6.77864e-15 t=96130
yi zhang 	一張	c=16 d=1 t=91565
yi zhang 	一章	c=1 d=1 t=24700
yi zhao 	一朝	c=1 d=1 t=55791
yi zhe ge 	以这个	c=1 d=1 t=31352
yi zhen 	一陣	c=1 d=1 t=83609
yi zhi 	一直	c=33 d=0.995769 t=96130
yi zhi 	一致	c=6 d=0.00033379 t=96130
yi zhi 	一隻	c=1 d=1 t=61930
yi zhi 	以至	c=4 d=1.90204e-09 t=96130
yi zhi 	抑制	c=6 d=2.46722e-20 t=96130
yi zhi xiang 	一直想	c=1 d=1.20072e-05 t=96130
yi zhi xing 	一致性	c=1 d=1 t=83117
yi zhi yu 	以至於	c=2 d=1.32403e-08 t=96130
yi zhong 	一種	c=40 d=0.00573655 t=96130
yi zhou 	一周	c=3 d=1 t=79202
yi zu 	一組	c=2 d=0.075774 t=96130
yi zuo 	一座	c=1 d=1 t=40636
yin 	因	c=3 d=3.98032e-16 t=96130
yin 	引	c=1 d=1 t=80923
yin biao 	音標	c=3 d=0.100187 t=78712
yin biao de 	音標的	c=1 d=1 t=78713
yin cang 	隱藏	c=16 d=0.000940311 t=96130
yin cang ceng 	隱藏層	c=11 d=3.17618e-08 t=96130
yin ci 	因此	c=5 d=0.498377 t=96130
yin dao 	引導	c=5 d=1.20811e-09 t=96130
yin dao lei 	引導類	c=9 d=6.49104e-09 t=96130
yin guo 	因果	c=2 d=0.00565622 t=96130
yin hang 	銀行	c=2 d=1 t=83839
yin hang ka 	銀行卡	c=1 d=1 t=43099
yin hao 	引號	c=2 d=0.0536647 t=96130
yin he di guo 	银河帝国	c=3 d=9.16277e-16 t=96130
yin hui 	淫穢	c=1 d=2.00746e-22 t=96130
yin li 	引力	c=1 d=1 t=39846
yin liang 	音量	c=1 d=2.00958e-05 t=96130
yin ling 	引領	c=1 d=0.373439 t=96130
yin pin 	音頻	c=1 d=1 t=32176
yin qi 	引起	c=2 d=1 t=34064
yin qing 	引擎	c=12 d=0.000446085 t=96130
yin ru 	引入	c=3 d=4.67085e-14 t=96130
yin se 	銀色	c=1 d=1 t=65864
yin shi 	飲食	c=1 d=1 t=43930
yin su 	因素	c=4 d=1 t=87553
yin sun 	陰損	c=1 d=1 t=38601
yin tian 	陰天	c=1 d=1 t=74969
yin wei 	因爲	c=100 d=0.000323289 t=96130
yin xiang 	印象	c=3 d=1 t=64298
yin xiao 	音效	c=1 d=1 t=64396
yin yi sha shou 	銀翼殺手	c=3 d=2.96062 t=79762
yin ying 	陰影	c=7 d=0.1 t=74225
yin ying long zhao 	陰影籠罩	c=1 d=1 t=74226
yin yong 	引用	c=14 d=0.0500366 t=96130
yin yu 	淫欲	c=1 d=0.380983 t=96130
yin yu 	隱喻	c=1 d=1 t=30368
yin yue 	音樂	c=21 d=1 t=85699
yin zi 	因子	c=3 d=1.58926e-09 t=96130
ying 	應	c=1 d=1 t=77585
ying 	營	c=1 d=1.68432e-16 t=96130
ying bi 	硬幣	c=2 d=1.94176 t=58294
ying da 	應答	c=1 d=1 t=25128
ying dui 	應對	c=3 d=4.48474e-08 t=96130
ying fu 	應付	c=1 d=0.225373 t=96130
ying gai 	應該	c=106 d=0.442639 t=96130
ying gai jiao 	应该叫	c=1 d=1 t=58570
ying guo 	英國	c=1 d=1 t=22466
ying he 	硬核	c=1 d=1 t=40611
ying hua 	櫻花	c=4 d=2.26342 t=26607
ying jian 	硬件	c=2 d=1 t=90730
ying jie 	迎接	c=3 d=6.49935e-20 t=96130
ying nan 	迎难	c=1 d=1 t=35169
ying pan 	硬盤	c=14 d=3.57778e-08 t=96130
ying pian 	影片	c=4 d=3.97017 t=74675
ying pin 	應聘	c=1 d=1 t=91135
ying rao 	縈繞	c=1 d=0.1 t=84530
ying rao er bian 	縈繞耳邊	c=1 d=1 t=84531
ying shang 	營商	c=1 d=1 t=46129
ying she 	映射	c=20 d=0.00951391 t=96130
ying shi 	影視	c=3 d=1 t=80230
ying shi 	應試	c=1 d=7.54346e-08 t=96130
ying wei da 	英偉達	c=1 d=1 t=59300
ying wen 	英文	c=51 d=0.638608 t=96130
ying wen ban 	英文版	c=1 d=1 t=74308
ying wu 	鸚鵡	c=1 d=1 t=61933
ying xiang 	影響	c=29 d=0.000665253 t=96130
ying xiao 	營銷	c=3 d=1 t=72103
ying xiong lian meng 	英雄聯盟	c=1 d=1 t=91973
ying ye 	營業	c=2 d=1.90032 t=69273
ying yong 	應用	c=71 d=0.655893 t=96130
ying yong cheng xu 	應用程序	c=4 d=0.00107547 t=96130
ying yong ti 	應用題	c=1 d=7.87968e-21 t=96130
ying yu 	英語	c=45 d=2.0902 t=96130
ying yu ke 	英語課	c=1 d=9.54016e-06 t=96130
ying zi 	影子	c=1 d=1.5201e-15 t=96130
yo 	喲	c=13 d=0.00215492 t=96130
yong 	勇	c=3 d=1 t=90365
yong 	用	c=213 d=0.16777 t=96130
yong bao 	擁抱	c=1 d=2.11808e-06 t=96130
yong bu dao 	用不到	c=3 d=2.17281e-12 t=96130
yong bu liao 	用不了	c=7 d=0.000703108 t=96130
yong chu 	用處	c=7 d=0.0162445 t=96130
yong dao 	用到	c=8 d=0.767206 t=96130
yong fa 	永發	c=1 d=1 t=28423
yong fa 	用法	c=7 d=1 t=78032
yong fu 	用富	c=1 d=2.68657e-09 t=96130
yong gan 	勇敢	c=1 d=1 t=73734
yong guo 	用過	c=1 d=0.142987 t=96130
yong heng 	永恆	c=2 d=6.15774e-16 t=96130
yong hu 	用戶	c=15 d=0.0361918 t=96130
yong hu ming 	用戶名	c=1 d=1 t=60600
yong jiu 	永久	c=2 d=1 t=91595
yong kang 	永康	c=0 d=1.05798e-17 t=96130
yong lai 	用來	c=8 d=1.51566e-10 t=96130
yong li 	用力	c=2 d=1 t=48358
yong nao 	用腦	c=2 d=1.85642 t=75150
yong ni 	用你	c=3 d=1.99005 t=75622
yong pin 	用品	c=1 d=1 t=69538
yong shang 	用上	c=2 d=0.00733572 t=96130
yong ta men 	用他们	c=1 d=1 t=91483
yong tu 	用图	c=1 d=2.10788e-08 t=96130
yong tu 	用途	c=1 d=1.0031e-07 t=96130
yong xian chu 	湧現出	c=1 d=1 t=61050
yong yan 	用眼	c=1 d=1 t=80853
yong you 	擁有	c=1 d=1 t=19484
yong yu 	用於	c=94 d=0.949632 t=96130
yong yuan 	永遠	c=7 d=2.84727e-16 t=96130
yong zai 	用在	c=1 d=1 t=35641
you 	又	c=82 d=9.92874e-06 t=96130
you 	友	c=5 d=1 t=50619
you 	右	c=2 d=1.99005 t=45360
you 	有	c=712 d=1.1867 t=96130
you 	油	c=4 d=3.84472 t=47500
you 	由	c=35 d=0.541999 t=96130
you ban fa 	有辦法	c=1 d=1 t=63542
you ban hui 	有班會	c=1 d=2.33798e-21 t=96130
you bao fu 	有抱負	c=1 d=1 t=75041
you bei 	又被	c=1 d=1 t=37856
you bi yao 	有必要	c=2 d=3.78684e-18 t=96130
you bian 	右邊	c=15 d=1.43222 t=88122
you bian 	有边	c=0 d=0.000100276 t=96130
you bian hua 	有变化	c=1 d=1 t=75916
you biao 	游標	c=5 d=4.19846e-10 t=96130
you bu hao 	又不好	c=1 d=1 t=25895
you ce 	右側	c=2 d=2.61935e-05 t=96130
you cuo 	有錯	c=2 d=5.81838e-12 t=96130
you dai zheng 	優待證	c=1 d=1 t=53898
you dao 	有道	c=3 d=1 t=90641
you dao 	誘導	c=1 d=1 t=26215
you dian 	優點	c=2 d=4.83403e-08 t=96130
you dian 	有點	c=14 d=0.207355 t=96130
you dian gao 	有點高	c=1 d=1 t=53346
you dian tong 	有点痛	c=1 d=3.94138e-18 t=96130
you dou 	油鬥	c=1 d=1 t=62269
you du 	有毒	c=1 d=1 t=76007
you dui qi 	右对齐	c=1 d=1 t=26133
you duo 	誘多	c=1 d=1 t=27351
you duo da 	有多大	c=1 d=0.0236356 t=96130
you duo shao 	有多少	c=1 d=1 t=74564
you duo yuan 	有多遠	c=1 d=1 t=44814
you er yu 	幼儿语	c=1 d=1 t=39094
you er yuan 	幼兒園	c=2 d=1.99501 t=39110
you gai 	又該	c=6 d=0.000851278 t=96130
you gan 	有感	c=1 d=1 t=69613
you gan jue 	有感覺	c=1 d=1 t=56614
you guan 	有關	c=12 d=4.83447e-05 t=96130
you guan ma 	有關嗎	c=1 d=1 t=45081
you guo 	有過	c=3 d=1 t=61578
you hai 	有害	c=1 d=7.17678e-10 t=96130
you hao 	友好	c=0 d=0.1 t=79668
you he 	有何	c=1 d=1 t=50972
you hou 	油猴	c=3 d=1.98511 t=47209
you hua 	優化	c=27 d=0.0901425 t=96130
you hua ma 	優化嗎	c=2 d=1.96079 t=73175
you hua qi 	优化器	c=1 d=1 t=70199
you hua qu 	優化去	c=1 d=1 t=54202
you huo 	有貨	c=1 d=6.38388e-15 t=96130
you huo gan 	有活干	c=1 d=1 t=90462
you ji 	右擊	c=4 d=3.16745e-05 t=96130
you ji lu 	有記錄	c=4 d=1.00089 t=29911
you jian 	郵件	c=18 d=0.113046 t=96130
you jian lian jie 	郵件鏈接	c=1 d=6.41152e-07 t=96130
you jiang pin 	有獎品	c=1 d=1 t=72081
you ju ti 	有具体	c=1 d=6.50045e-22 t=96130
you ke 	遊客	c=2 d=1 t=36794
you ke neng 	有可能	c=4 d=1 t=80312
you ke yi 	有可以	c=1 d=4.55795e-22 t=96130
you kong 	有空	c=4 d=1 t=77911
you lai 	由來	c=5 d=1.08416 t=83374
you liang chuan tong 	優良傳統	c=1 d=1 t=79596
you lun 	游輪	c=1 d=1 t=75323
you ma 	有嗎	c=3 d=0.0110536 t=96130
you mei 	優美	c=1 d=1.81989e-15 t=96130
you mei you 	有沒有	c=35 d=0.28606 t=96130
you ming wang 	有名望	c=1 d=1 t=64418
you ming yue 	有明月	c=1 d=1.73443e-08 t=96130
you mo 	幽默	c=3 d=1.916e-15 t=96130
you mu you 	有木有	c=1 d=1 t=70712
you na 	有哪	c=2 d=0.000397625 t=96130
you na xie 	有哪些	c=12 d=0.000232553 t=96130
you o 	有哦	c=1 d=1 t=53130
you qing 	有請	c=3 d=1.46453e-16 t=96130
you qiong xing 	有穷性	c=1 d=1 t=84204
you qu 	又去	c=2 d=1.66671e-10 t=96130
you qu 	有趣	c=1 d=1 t=84683
you que dian 	優缺點	c=4 d=1 t=85983
you ren 	有人	c=1 d=2.15265e-20 t=96130
you ren ne 	有人呢	c=1 d=1 t=37960
you sha 	有啥	c=5 d=1 t=88329
you shang 	憂傷	c=1 d=1 t=75985
you shang jiao 	右上角	c=6 d=1.94176 t=71849
you shi 	優勢	c=13 d=5.61634e-08 t=96130
you shi 	又是	c=4 d=4.84489e-05 t=96130
you shi 	有時	c=1 d=1 t=35776
you shi hou 	有時候	c=1 d=1 t=41113
you shi jian 	有時間	c=5 d=1 t=81812
you shi pin 	有视频	c=1 d=8.44096e-07 t=96130
you suo 	有所	c=4 d=0.882497 t=96130
you ta ban 	有踏板	c=1 d=1 t=41839
you tu 	右圖	c=6 d=1 t=58316
you tu 	幽途	c=1 d=1 t=29633
you wu 	有无	c=1 d=1 t=81213
you wu 	有誤	c=37 d=9.01251e-06 t=96130
you xi 	遊戲	c=5 d=1 t=90558
you xia jiao 	右下角	c=2 d=1 t=65320
you xian 	優先	c=21 d=2.78984 t=89083
you xian 	有限	c=3 d=1.00041 t=85960
you xian ge 	有限個	c=1 d=1 t=84241
you xian ji 	優先級	c=3 d=4.82073e-05 t=96130
you xiang 	有向	c=3 d=1.00005 t=89264
you xiang 	郵箱	c=14 d=3.04377e-07 t=96130
you xiang ru 	有向如	c=1 d=1 t=87255
you xiang tu 	有向圖	c=2 d=1 t=87299
you xiao 	有效	c=10 d=4.9096e-11 t=96130
you xiao xi 	有消息	c=1 d=1 t=70741
you xiao xing 	有效性	c=1 d=1 t=95099
you xie 	有些	c=17 d=1.26464e-14 t=96130
you xing 	油性	c=1 d=1 t=43885
you xing qu 	有興趣	c=1 d=1 t=81208
you xiu 	優秀	c=66 d=0.00096827 t=96130
you xiu tuan gan 	优秀团干	c=1 d=1 t=94638
you xu 	有序	c=13 d=0.00402593 t=96130
you xu qu 	有序區	c=1 d=1 t=88060
you xu yao 	有需要	c=1 d=1 t=21592
you ya 	優雅	c=2 d=1.00004 t=77291
you yi 	優異	c=5 d=1.00002 t=41163
you yi 	又以	c=1 d=1 t=46095
you yi 	有益	c=1 d=1 t=61942
you yi ci 	有一次	c=1 d=1 t=75961
you yi ge 	又一個	c=5 d=0.0173355 t=96130
you yi ke 	有一顆	c=1 d=1 t=57891
you yi shou 	又一首	c=1 d=1 t=55690
you yi si 	有意思	c=4 d=8.17173e-08 t=96130
you yi tian 	有一天	c=1 d=1 t=51498
you yong 	有用	c=3 d=7.28772e-14 t=96130
you you 	又有	c=4 d=0.231078 t=96130
you yu 	優於	c=1 d=1 t=55969
you yu 	猶豫	c=4 d=1 t=57217
you yu 	由於	c=23 d=3.38017e-05 t=96130
you ze 	有責	c=2 d=1 t=95615
you zhe 	有着	c=1 d=1 t=75203
you zhi 	優質	c=1 d=1 t=40288
you zhi 	幼稚	c=2 d=1 t=80899
you zhi 	油質	c=1 d=1.25989e-12 t=96130
you zou 	遊走	c=1 d=1 t=40533
yu 	域	c=2 d=1.09265e-14 t=96130
yu 	宇	c=2 d=1 t=90368
yu 	峪	c=1 d=1 t=43307
yu 	御	c=1 d=1 t=85667
yu 	於	c=39 d=1.29964 t=96130
yu 	瑜	c=2 d=1.95123 t=90494
yu 	與	c=138 d=0.119207 t=96130
yu 	雨	c=7 d=2.28506 t=91192
yu 	預	c=1 d=0.1 t=81853
yu 	魚	c=2 d=1 t=64378
yu a 	玉啊	c=1 d=1 t=73468
yu ao 	于敖	c=0 d=0.1 t=67214
yu ao you 	于敖有	c=1 d=1 t=67215
yu ba bu neng 	欲罢不能	c=1 d=0.00017956 t=96130
yu bei 	預備	c=3 d=3.79535e-15 t=96130
yu bu 	羽步	c=0 d=1.11166e-11 t=96130
yu ce 	預測	c=145 d=0.759658 t=96130
yu ce li 	預測李	c=1 d=1 t=93908
yu ce zhi 	預測值	c=2 d=1 t=70523
yu chu li 	預處理	c=32 d=0.990667 t=96130
yu dao 	遇到	c=22 d=0.874441 t=96130
yu fa 	語法	c=11 d=4.02659e-06 t=96130
yu fang 	預防	c=3 d=0.000121572 t=96130
yu gan 	預感	c=1 d=1 t=26904
yu gu 	預估	c=1 d=1 t=67349
yu huang ding 	玉皇頂	c=3 d=1.54607 t=43362
yu hui 	迂迴	c=1 d=1 t=75736
yu huo 	慾火	c=1 d=1 t=74925
yu ji 	于吉	c=1 d=8.78544e-07 t=96130
yu ji 	預計	c=5 d=1 t=79169
yu jin xiang 	鬱金香	c=1 d=1 t=22721
yu jing 	語境	c=1 d=1 t=55852
yu ju 	語句	c=4 d=0.000209665 t=96130
yu kuai 	愉快	c=1 d=1 t=34225
yu lan 	預覽	c=3 d=1 t=74568
yu le 	娛樂	c=1 d=1 t=85013
yu lian xi 	与联系	c=1 d=1 t=51904
yu liao 	語料	c=23 d=2.28004e-06 t=96130
yu liao 	預料	c=1 d=4.17075e-07 t=96130
yu liao ku 	語料庫	c=8 d=3.17766e-06 t=96130
yu men 	鬱悶	c=1 d=1 t=38596
yu ming 	域名	c=3 d=1 t=83634
yu pan 	预判	c=1 d=5.42225e-06 t=96130
yu qi 	語氣	c=2 d=2.42752e-22 t=96130
yu qi 	預期	c=7 d=0.0306918 t=96130
yu que 	語雀	c=2 d=1.99005 t=85873
yu sheng 	餘生	c=1 d=1 t=71363
yu shi 	於是	c=3 d=1 t=95747
yu shi 	浴室	c=1 d=1 t=86345
yu shu 	余數	c=2 d=1 t=87542
yu song nian 	郁松年	c=0 d=0.00328764 t=96130
yu song nian su 	郁松年俗	c=1 d=0.0330412 t=96130
yu su ze bu da 	欲速则不达	c=1 d=1 t=82739
yu suan 	預算	c=2 d=1.97531 t=23794
yu wang 	慾望	c=2 d=1 t=91097
yu xian 	余弦	c=1 d=1 t=44888
yu xian 	預先	c=2 d=1 t=84313
yu xuan lian 	與懸鏈	c=3 d=2.37144 t=83677
yu xue 	遇雪	c=1 d=5.46446e-09 t=96130
yu xun lian 	与训练	c=7 d=1 t=94929
yu xun lian 	預訓練	c=5 d=1 t=94930
yu yan 	語言	c=104 d=0.808884 t=96130
yu yi 	寓意	c=1 d=1 t=41542
yu yi 	語義	c=39 d=0.0280046 t=96130
yu yi fen ge 	語義分割	c=1 d=3.38189e-11 t=96130
yu yin 	語音	c=9 d=1 t=44538
yu yin huan xing 	語音喚醒	c=1 d=1 t=37060
yu ying 	玉英	c=1 d=1 t=20755
yu yu yan 	与语言	c=1 d=1 t=64251
yu yue 	愉悅	c=1 d=1 t=34019
yu yun yu 	于允昱	c=1 d=1 t=28109
yu zhi 	閾值	c=3 d=1.6913e-12 t=96130
yu zhi 	預製	c=1 d=1.0802 t=37272
yu zhi cai 	預製菜	c=1 d=1 t=37273
yu zhou 	宇宙	c=1 d=1 t=61280
yuan 	元	c=35 d=4.14161e-08 t=96130
yuan 	原	c=16 d=0.000510561 t=96130
yuan 	員	c=10 d=0.228682 t=96130
yuan 	圓	c=2 d=3.51247e-07 t=96130
yuan 	源	c=7 d=3.41472e-07 t=96130
yuan 	苑	c=1 d=3.94822e-09 t=96130
yuan 	遠	c=5 d=1 t=42150
yuan 	院	c=34 d=0.0010955 t=96130
yuan ban 	原版	c=5 d=1 t=78778
yuan ben 	原本	c=6 d=1.48156e-07 t=96130
yuan cai liao 	原材料	c=2 d=1.00003 t=69470
yuan chu 	遠處	c=1 d=2.46421e-22 t=96130
yuan dai ma 	源代碼	c=3 d=0.00124328 t=96130
yuan fen 	緣分	c=1 d=1 t=25966
yuan fu 	遠赴	c=1 d=1 t=36776
yuan gu 	緣故	c=2 d=2.70611e-06 t=96130
yuan hua 	原話	c=2 d=1.00037 t=30914
yuan ji 	院级	c=15 d=1.99501 t=37483
yuan jian ge 	原間隔	c=1 d=1 t=94105
yuan jiao 	圓角	c=2 d=1.17775e-13 t=96130
yuan jing 	遠景	c=4 d=1.00228 t=56502
yuan jing 	願景	c=1 d=1 t=68499
yuan lai 	原來	c=2 d=1 t=67492
yuan le 	遠了	c=1 d=1 t=30982
yuan li 	原理	c=24 d=0.0338776 t=96130
yuan liang 	原諒	c=1 d=1 t=84507
yuan liao 	原料	c=1 d=1 t=68873
yuan lu 	原路	c=1 d=1 t=36834
yuan ma 	源碼	c=15 d=0.000663953 t=96130
yuan man 	圓滿	c=2 d=2.20251e-17 t=96130
yuan nian 	怨念	c=1 d=1 t=91991
yuan qian 	原欠	c=1 d=1 t=89518
yuan quan 	圓圈	c=5 d=1.97531 t=92722
yuan sheng 	原生	c=7 d=6.07475e-08 t=96130
yuan shi 	原始	c=16 d=0.21992 t=96130
yuan su 	元素	c=98 d=0.191018 t=96130
yuan ti 	原题	c=4 d=8.69574e-06 t=96130
yuan wen 	原文	c=2 d=1.00139 t=73412
yuan xian 	原先	c=3 d=1.01226 t=58710
yuan xing 	原型	c=2 d=1 t=63792
yuan xing 	圓形	c=2 d=1.95123 t=42154
yuan yang 	原樣	c=2 d=1 t=59953
yuan yi 	願意	c=3 d=1 t=37961
yuan yin 	原因	c=124 d=0.02045 t=96130
yuan you 	原有	c=4 d=0.126818 t=96130
yuan yu 	源於	c=1 d=1 t=78596
yuan yuan 	圓圓	c=1 d=1 t=24398
yuan ze 	原則	c=6 d=1 t=74136
yuan zu 	元組	c=14 d=5.41562e-21 t=96130
yuan zuo 	元作	c=1 d=1 t=22915
yue 	月	c=152 d=6.49459 t=96130
yue 	約	c=6 d=1.85214 t=93961
yue 	越	c=26 d=1 t=89299
yue chu 	月初	c=1 d=1 t=78968
yue da 	越大	c=5 d=2.65411 t=58530
yue dao 	约到	c=1 d=1 t=41426
yue di 	月底	c=2 d=1 t=96044
yue di 	越低	c=2 d=1.27527 t=83361
yue ding su cheng 	约定俗成	c=1 d=1 t=49674
yue du 	閱讀	c=23 d=0.000437252 t=96130
yue duo 	越多	c=3 d=1.96561 t=80768
yue fen 	月份	c=2 d=1 t=94685
yue fen de 	月份的	c=1 d=1 t=33013
yue gao 	越高	c=2 d=1 t=83093
yue han 	約翰	c=1 d=1 t=92464
yue hao 	越好	c=5 d=1 t=83363
yue ji 	月季	c=1 d=1 t=41539
yue jin 	越近	c=1 d=1 t=35964
yue kan 	越看	c=1 d=1 t=69865
yue se 	月色	c=1 d=1 t=34218
yue shao 	越少	c=1 d=1 t=83300
yue shu 	約數	c=4 d=1 t=81054
yue shu 	約束	c=1 d=1 t=81055
yue wang hou 	越往后	c=1 d=0.358796 t=96130
yue xiang 	越想	c=1 d=1 t=89298
yue xiao 	越小	c=2 d=1 t=60924
yue you 	越有	c=1 d=1 t=60927
yun 	雲	c=13 d=0.694197 t=96130
yun dong 	運動	c=12 d=0.396531 t=96130
yun dong gen 	運動根	c=1 d=1 t=59002
yun dong hui 	運動會	c=1 d=1 t=33073
yun dong lian 	運動鏈	c=2 d=1.99501 t=67645
yun duan 	云端	c=1 d=1 t=46434
yun hua 	雲化	c=1 d=1 t=91629
yun pan 	云盘	c=3 d=1 t=77700
yun pan 	运盘	c=1 d=1 t=54182
yun shu 	雲屬	c=0 d=0.1 t=55340
yun shu na 	雲屬那	c=1 d=1 t=55341
yun suan 	運算	c=31 d=0.084163 t=96130
yun suan fu 	運算符	c=3 d=1.0077 t=27850
yun xing 	運行	c=47 d=0.0754014 t=96130
yun xing hou 	運行後	c=1 d=1 t=80405
yun xing qi 	運行器	c=1 d=1 t=21098
yun xu 	允許	c=2 d=1 t=88327
yun yong 	運用	c=1 d=1 t=94925
za 	咋	c=9 d=2.06088e-07 t=96130
za ban 	咋辦	c=1 d=1 t=19131
za hua 	雜化	c=0 d=8.03612e-18 t=96130
za hui shi 	咋回事	c=1 d=3.73566e-05 t=96130
za huo 	杂活	c=1 d=1 t=54169
za huo pu 	雜貨鋪	c=2 d=1.00323 t=23833
za ji biao yan 	雜技表演	c=1 d=1 t=74743
za jiao 	雜交	c=1 d=1 t=53138
za la 	咋啦	c=1 d=1 t=25728
za yang 	咋樣	c=4 d=0.182684 t=96130
zai 	再	c=140 d=0.824712 t=96130
zai 	在	c=660 d=2.66006 t=96130
zai 	載	c=1 d=4.06708e-05 t=96130
zai a 	在啊	c=1 d=1 t=34603
zai bu zai 	在不在	c=3 d=0.197899 t=96130
zai chu 	再出	c=1 d=1.34729e-07 t=96130
zai ci 	再次	c=1 d=1 t=29832
zai ci ji chu shang 	在此基礎上	c=1 d=0.01649 t=96130
zai dao 	再到	c=1 d=1 t=36831
zai dian ji 	再点击	c=1 d=0.00102302 t=96130
zai ding 	再定	c=1 d=0.00037447 t=96130
zai du 	在讀	c=1 d=1 t=94746
zai dui 	在對	c=1 d=1 t=95378
zai fa 	再發	c=1 d=1 t=23790
zai fa yi ci 	再发一次	c=1 d=1 t=19970
zai fen 	再分	c=1 d=1 t=26775
zai gan ma 	在幹嗎	c=4 d=1 t=66509
zai gao 	在搞	c=1 d=1 t=90586
zai gei 	再給	c=1 d=1 t=69184
zai gei ding 	在給定	c=1 d=1 t=72239
zai guo nei 	在國內	c=1 d=1 t=46031
zai hou tian 	在後天	c=1 d=0.154896 t=96130
zai hua 	在華	c=1 d=1 t=91381
zai jia 	在家	c=3 d=0.449329 t=96130
zai jian 	再見	c=1 d=1 t=22741
zai jiang 	再將	c=2 d=1 t=69701
zai jie 	再接	c=1 d=1 t=59490
zai jie zai li 	再接再厉	c=1 d=1 t=59491
zai kan yi bian 	再看一遍	c=1 d=1 t=53063
zai lai 	再來	c=1 d=1 t=61968
zai ma 	再馬	c=1 d=6.41916e-21 t=96130
zai ma 	在嗎	c=1 d=1 t=20232
zai ma lai 	在马来	c=1 d=1 t=52411
zai na 	在哪	c=18 d=0.995012 t=96130
zai na li 	在那裡	c=1 d=1.77128e-20 t=96130
zai nan 	災難	c=1 d=1 t=85253
zai nan xing 	災難性	c=1 d=1 t=75063
zai ni 	在你	c=1 d=1 t=31193
zai qun li 	在羣裏	c=1 d=1 t=42829
zai ru 	載入	c=2 d=0.76034 t=53196
zai ru ying yu 	載入英語	c=2 d=1 t=91858
zai shang 	再上	c=1 d=8.39886e-07 t=96130
zai shang ti 	在上體	c=1 d=7.94939e-07 t=96130
zai sheng 	再生	c=1 d=1 t=63314
zai shuo 	再說	c=2 d=1 t=35265
zai wai 	在外	c=1 d=1 t=25773
zai xian 	在線	c=3 d=0.0107276 t=96130
zai xie 	再寫	c=1 d=1 t=37547
zai ye 	再也	c=2 d=5.90329e-06 t=96130
zai yi 	在意	c=3 d=1 t=83906
zai yi qi 	在一起	c=1 d=1 t=26198
zai yong 	再用	c=4 d=4.0628e-22 t=96130
zai yu 	在於	c=8 d=6.2726e-14 t=96130
zai zhe 	在這	c=1 d=1 t=21140
zai zhe ge 	在這個	c=2 d=1 t=53551
zai zhe li 	在這裏	c=1 d=1 t=23975
zan 	讚	c=1 d=1 t=30597
zan cun 	暫存	c=12 d=0.0765355 t=96130
zan cun qu 	暫存區	c=54 d=0.00096344 t=96130
zan ding 	暫定	c=1 d=8.18008e-20 t=96130
zan liang 	咱倆	c=1 d=1 t=22225
zan mei 	贊美	c=2 d=1.90032 t=55702
zan men 	咱們	c=4 d=0.0430669 t=96130
zan men xiu gai 	咱們修改	c=1 d=8.45246e-23 t=96130
zan shang 	讚賞	c=1 d=1 t=30599
zan shi 	暫時	c=9 d=0.185933 t=96130
zan ting 	暫停	c=2 d=7.36097e-14 t=96130
zan zhu 	贊助	c=1 d=1 t=84852
